EmployeeID,Address,EmpName,DepartmentID,Designation,ContractType,TechQualification,NonTechQualification,ManagerID
89246,"USNS Aguilar
FPO AA 94533",Glenda Vaughn,238,Music tutor,Contract,True,False,27133
47152,"4742 Castro River
Andrewburgh, SC 78403",Jonathan Solomon,566,Control and instrumentation engineer,Contract,True,True,21931
98491,"94702 Samuel Loop
Cannonshire, RI 53566",Micheal Barrera,238,Minerals surveyor,Contract,False,True,45802
17958,"34083 Cynthia Loaf
East Holly, MT 64625",Robert Tate,447,Technical author,Part-Time,False,True,85796
3938,"8199 Sally Pike Suite 965
Josephmouth, MH 22081",Michelle Whitney,760,Commissioning editor,Contract,False,True,54535
43576,"5700 James Underpass Apt. 948
Collinsberg, SD 53881",Heather Barber,566,Associate Professor,Part-Time,True,True,20563
53611,"USNS Matthews
FPO AE 49518",Jonathan Cross,902,Press photographer,Part-Time,True,True,10655
5929,"492 Andrew Brooks
New Yvonne, NY 68781",Austin Moody,238,"Producer, television/film/video",Part-Time,True,False,18125
40662,"19939 Ramos Spring Suite 093
Lake David, IA 53493",Amy Williams,121,"Surveyor, minerals",Full-Time,True,True,91608
26459,"44877 Taylor Extensions
West Emily, PW 92501",Erik Hoffman DDS,989,Cytogeneticist,Contract,True,False,5006
13194,"015 Julie Street
North Nicole, MH 03067",Antonio Rodriguez,414,Press sub,Full-Time,True,True,5142
15399,"69691 Kelly Crossroad
Jenniferfort, NH 56586",Wesley Wilson,721,"Geologist, wellsite",Contract,True,True,1290
43520,"56474 Beard Heights
New Charlesmouth, TN 49407",Alexis Middleton,896,Land/geomatics surveyor,Contract,True,True,54109
33559,"677 Ricky Ridge
Andrewport, CT 24407",Mr. Luis Hurley,718,Trading standards officer,Full-Time,True,False,8947
21459,"5253 Kim Lodge Suite 805
East Markhaven, NM 36339",Rebecca Blevins,529,Insurance claims handler,Full-Time,True,True,94860
49303,"44127 Woods Cliff Suite 537
North Frankborough, ND 30667",Sean Rogers,95,Outdoor activities/education manager,Part-Time,False,False,52354
28185,"4116 Watson Overpass
South Jeffreyberg, ND 28099",Stanley Fowler,586,Architect,Part-Time,False,False,51833
22023,"6067 Ramirez Mission Apt. 084
Nicholasside, GU 33362",Nicole Fox,588,Software engineer,Contract,False,False,6894
75157,"055 Ellis Track
West Josephmouth, ME 12449",Robert Andrews,513,"Production assistant, television",Full-Time,False,False,39456
89226,"4093 Sonya Village Suite 964
Craigmouth, NH 81642",Corey Wiley,548,Counsellor,Part-Time,False,True,63326
17061,"687 Hayes Roads Apt. 678
South Thomasfort, UT 31677",Phillip Holt,834,Community arts worker,Part-Time,True,True,98337
16640,"5018 Megan Shore Apt. 296
Carrmouth, AL 61905",Matthew Silva,721,Local government officer,Contract,True,True,21472
27190,"5963 Emily Manor
New Robertton, AS 74007",Fred Anderson,442,Gaffer,Full-Time,True,False,36446
55937,"02086 Jasmine Field Suite 497
Brockberg, PR 60811",Brian Rodriguez,176,Arboriculturist,Part-Time,True,True,72305
1641,"841 Hopkins Passage Suite 205
Jillland, OH 78633",Erica Adams,308,"Runner, broadcasting/film/video",Full-Time,True,True,79347
77908,"1910 William Pines
Sanchezside, WY 22530",Tracy Foster,157,Marketing executive,Full-Time,True,True,38959
68,"33040 Brown Inlet
North Lynn, NH 90848",Leon Hawkins,744,Video editor,Part-Time,True,False,17191
11055,"423 Kevin Mission Apt. 807
Williamsonborough, OK 16168",Brian Campbell,391,Facilities manager,Part-Time,True,False,39231
60822,"24377 Samantha Pass
West Ryanchester, PW 93195",Patrick Weaver,157,"Engineer, water",Contract,True,True,77934
39576,"Unit 7561 Box 7403
DPO AE 36662",Joseph Andrews,935,Garment/textile technologist,Full-Time,False,False,58601
58985,"211 Smith Drive Apt. 101
Port Greg, OR 46913",Mr. Bryan Alvarez,378,Education administrator,Part-Time,True,True,64005
48549,"6683 Porter Fields Apt. 957
Lake Abigail, MD 37879",Judith Bell,272,"Geologist, engineering",Full-Time,False,False,85895
1254,"13849 Zavala Cliffs Apt. 167
Tonytown, WA 47758",Gabriela Allen,419,Community pharmacist,Full-Time,True,False,19606
46223,"Unit 4704 Box 2551
DPO AA 60588",Lance Vargas,190,Manufacturing systems engineer,Part-Time,False,True,2516
71851,"212 Nicole Squares Suite 609
Port Jason, ID 06948",Melissa Martinez,345,Soil scientist,Full-Time,False,True,53154
72234,"2461 King Canyon Suite 330
New Madison, MI 31399",Bryan Cook,169,"Scientist, biomedical",Part-Time,False,True,91741
39687,"3375 Martin Way Suite 756
South Courtney, MS 67634",Craig Wright,343,Information systems manager,Contract,True,True,68527
67555,"1564 Davis Fall
East Kurttown, NC 37467",Rachel Mooney,729,Civil Service fast streamer,Part-Time,False,True,46531
35240,"572 Patricia Mountains
Tarafort, DC 16069",Donna Little,356,General practice doctor,Part-Time,True,True,31960
99640,"4321 Daniel Spur
Lake Janiceville, IN 33895",Taylor Brooks,718,Food technologist,Full-Time,False,False,67024
