,Address,EmpName,DepartmentID,Designation,ContractType,TechQualification,NonTechQualification,ManagerID
53378,"57564 Lindsey Causeway Apt. 947
Meganport, CT 27336",Stephanie Miller,462,"Designer, industrial/product",Part-Time,False,False,2183
64441,"67216 Dixon Terrace
North Lauren, NC 34481",Helen Jackson,258,Dietitian,Part-Time,True,False,74573
89742,"3737 Tiffany Fords
Jonestown, NV 17644",Stephen Gray,118,Research scientist (life sciences),Part-Time,False,True,961
34842,"3908 Timothy View
New Charles, CA 00765",Lisa Allen,691,Field trials officer,Contract,True,False,17746
55841,"1376 Stephanie Drives Suite 475
Martinbury, AS 64279",Adam Lewis,331,Hydrologist,Contract,False,False,30068
29215,"3103 Cheryl Oval Suite 802
New Sandra, OK 63536",Jacob Sandoval,445,Garment/textile technologist,Part-Time,False,True,65190
773,"1134 Guerrero Glens Apt. 254
Robinsonview, WY 71117",Kathleen Hartman,827,Architect,Contract,False,False,37835
37055,"USNV Little
FPO AE 86000",Deborah Anderson,351,Counsellor,Full-Time,True,False,68185
77046,"595 Mendoza Turnpike
North Matthew, OR 40685",David Gonzalez,643,"Restaurant manager, fast food",Full-Time,True,False,80505
90697,"2136 Gonzalez Forest
South Bobby, PA 75261",Todd Contreras,489,Merchant navy officer,Part-Time,False,True,18090
43003,"7172 Delgado Loop
Port Sydneyborough, AK 52483",Devon Solis,624,Theatre stage manager,Contract,False,True,58997
26623,"969 William Squares
Alvaradomouth, LA 01668",Cindy Bowman,643,"Education officer, museum",Full-Time,False,True,79624
47166,"71534 Warren Mount
North Deborahport, SD 34022",Jake Huber,211,Recycling officer,Part-Time,True,False,34348
13973,"27416 Carolyn Gardens Apt. 803
Valeriebury, WI 72220",Gregory Mccoy,147,Consulting civil engineer,Part-Time,False,True,11553
66421,"5054 Kenneth Path
Deannachester, VT 41007",Carlos Chase,450,Freight forwarder,Full-Time,True,True,81625
2462,"USCGC Torres
FPO AP 45517",Clinton Mcdonald,600,Osteopath,Full-Time,True,False,73492
43269,"9189 Joshua Tunnel
Davistown, NY 96924",Alexis Wells,801,Paramedic,Full-Time,False,True,851
55553,"96924 Erickson Burg Suite 657
Danielberg, WI 06292",Keith Copeland,100,Quantity surveyor,Contract,False,True,62006
40787,"5811 Wright Streets
Watkinsmouth, TN 00984",Amy Mejia,691,Higher education lecturer,Part-Time,True,True,52429
26376,"2812 Derrick Causeway
Sarahstad, PR 07902",Joshua Sanchez,264,Clinical biochemist,Full-Time,False,True,69984
95682,"92669 Sanchez Ramp Apt. 579
North Stephaniehaven, TN 06421",Tina Singh,708,Amenity horticulturist,Contract,True,False,25211
76685,"9779 Gallegos Coves
Summersfurt, LA 55298",Amanda Johnson,445,Pharmacologist,Part-Time,True,False,60873
