ProjectID,DepartmentID,ProjectName,ProjectStatus,Budget,Stakeholder
12004,515,Multi-tiered incremental time-frame,Completed,549223,Jeffery Ortiz
94934,699,Multi-channeled well-modulated protocol,Completed,409825,Meghan Hendrix
73349,349,Reactive user-facing capacity,Active,934469,Nicole Curtis
71098,76,Right-sized full-range success,Active,592098,David Alvarado
17485,942,Innovative secondary hub,Active,463793,Lori Lang
34561,699,Assimilated clear-thinking migration,Active,267613,Brian Collins
12745,699,Persistent zero tolerance support,Inactive,880040,Eric Johnson
61251,28,Persevering exuding structure,Inactive,335555,Valerie Rosario
59034,210,User-centric dedicated Internet solution,Completed,858479,Jennifer Davis
22062,616,Re-contextualized demand-driven attitude,Active,106933,Robert Perry
10589,296,User-centric optimizing Graphic Interface,Active,883413,Barbara Anderson
67389,550,Persevering secondary array,Active,95263,John Diaz
20844,942,Managed next generation protocol,Inactive,99415,Todd Smith
58799,352,Future-proofed multi-state info-mediaries,Inactive,268014,Rebecca Tucker
96776,357,Optional national extranet,Active,747736,Justin French
24113,835,Sharable explicit workforce,Active,356256,Jill Stewart
4337,417,Diverse intermediate policy,Completed,887427,Tim Bradshaw
77022,956,Total eco-centric support,Active,344395,Michael Reese
69458,619,Synchronized mobile contingency,Inactive,628657,Jennifer Garcia
41817,729,Optimized mobile extranet,Inactive,214167,Tina Richardson
73626,729,Optional full-range migration,Active,60753,William Hall
97864,237,Reverse-engineered mobile flexibility,Active,479457,Jacob Vargas
61345,311,Focused object-oriented service-desk,Active,374599,Linda Newton
46512,658,Compatible optimal array,Completed,959436,Jeffrey Wood
8445,293,Down-sized optimal policy,Active,16385,Tonya Bell
58306,60,Reverse-engineered radical algorithm,Inactive,336763,Willie Stewart
73595,254,Function-based intangible function,Completed,892170,Brian Carter
82849,104,Realigned mobile methodology,Inactive,419438,Jackson Krueger
17314,621,Automated content-based application,Inactive,926081,Savannah Cobb
12462,956,Vision-oriented explicit challenge,Inactive,84102,Troy Stephens
54442,619,Configurable contextually-based archive,Active,446289,John Avila DDS
30154,515,Multi-lateral stable concept,Completed,772434,Jordan Lee
46785,172,Vision-oriented system-worthy benchmark,Active,891039,Amy Kerr
95764,573,Reverse-engineered client-driven protocol,Inactive,512447,Thomas Freeman
6632,354,Down-sized systematic infrastructure,Completed,622950,Christina Kane
63331,282,Innovative incremental software,Inactive,198914,Daniel Schmitt
50508,200,Stand-alone bandwidth-monitored help-desk,Inactive,557395,Alexis Evans
91804,311,Mandatory zero administration parallelism,Inactive,511749,Alyssa Ford
37356,349,Pre-emptive full-range forecast,Active,276959,Kara Vasquez
18464,9,Robust grid-enabled synergy,Completed,294059,Ashley Stanton
88632,726,Persistent holistic hardware,Completed,374659,Christy Silva
28278,527,Exclusive solution-oriented Local Area Network,Active,465175,David Hernandez
78721,758,Versatile intermediate artificial intelligence,Completed,83294,Cynthia Hill
86086,995,Managed cohesive contingency,Active,152864,Elizabeth Fuller
43739,672,Front-line heuristic success,Inactive,997069,Jeffrey Madden
95029,763,Reverse-engineered motivating utilization,Completed,775848,James Shepherd
58121,313,Multi-layered value-added pricing structure,Active,484443,Amy Coleman
17147,875,Ergonomic optimizing moratorium,Inactive,946233,Tyler Garza
16302,763,Organic radical capacity,Completed,125255,Sharon Miller
72512,726,Persistent bottom-line function,Active,999163,Michael Blake
80892,127,Business-focused systematic success,Active,327325,Jill Morgan
4485,672,Intuitive attitude-oriented utilization,Inactive,549468,Anthony Hill
97111,180,Object-based mobile knowledge user,Completed,69810,Amy White
5950,822,Virtual value-added standardization,Completed,409079,Nicholas Porter
2349,550,Multi-channeled well-modulated capacity,Inactive,587098,Michael Schultz
11536,296,Phased upward-trending matrix,Completed,155080,Joanna Butler
62318,663,Upgradable systemic Internet solution,Active,880499,Jill Copeland
86443,349,Synchronized secondary budgetary management,Completed,10124,Kristi Charles
49417,568,Devolved full-range workforce,Completed,844038,Aaron Flores
92760,776,Function-based mobile knowledge user,Active,532049,Ashley Baker
24407,180,Polarized fresh-thinking challenge,Inactive,593426,Michelle Coleman
18738,172,Upgradable static success,Active,779692,Beth Crawford
43181,658,Right-sized tangible strategy,Inactive,990127,Robin Lee
3975,254,Extended upward-trending alliance,Completed,223399,Lisa Hartman
64543,550,Diverse composite system engine,Active,202118,Andrew Harris
